nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test
1,0.6920005526913101,0.5134496717256873,0.7378644488150762,0.5132540223183328
2,0.7175070126630196,0.543110810459877,0.734361524358506,0.5462163618868022
3,0.7355176993446134,0.5788498859235459,0.7726882098887838,0.5846301061825937
4,0.7439693386706935,0.5480396356133493,0.7813147348750251,0.5377707549126975
5,0.7530768258051662,0.5600405618502332,0.7884775692416403,0.5700549959384438
6,0.7585123709496774,0.5893636902021114,0.8036777965203683,0.6049523034091423
7,0.7589269710238504,0.5788410307820753,0.799735298086151,0.5927710748832402
8,0.7605322227874772,0.5875238962598768,0.8037994605658678,0.6053517355349884
9,0.7578189424027528,0.5808831790294773,0.7985600258551421,0.597483175018777
10,0.7631189330260117,0.5864199824176441,0.7994630686508006,0.5908023688901477
11,0.7670395684550707,0.5848070071772364,0.807205592091029,0.5856396598247178
12,0.7719799068196085,0.5810012374486867,0.8145726873938184,0.580452441228348
13,0.7713598604626688,0.5815234993636469,0.814183033844665,0.580354798934305
14,0.7836454749571063,0.5851044481250682,0.8252454251477082,0.5827792172569003
15,0.7787667898540539,0.5924683753711332,0.8191294868295905,0.5888678535554289
16,0.7791177688326991,0.5993886721995327,0.8105333998149191,0.6023943884231218
17,0.7825369541669434,0.593068697704496,0.804388778296324,0.594346290365624
18,0.7799318731584144,0.601945736004614,0.8123763544197494,0.6131434844726484
19,0.7839963513728078,0.6128262814667902,0.8268468590576008,0.6231180324741274
20,0.7913141140253577,0.6067080236280704,0.8322338544183822,0.6190760447549644
21,0.7750685241182456,0.5933212399897985,0.8151621606920687,0.6214454238147306
22,0.7750685241182456,0.5933816086816881,0.8151621606920687,0.6212652469196752
23,0.7744137299404918,0.593752314124601,0.8147127745763092,0.6214492809805898
24,0.7748656538451144,0.5930489906598844,0.8149367187135766,0.6207296582721332
25,0.7757695016543595,0.593354415970185,0.8127292287965716,0.6210213789938832
26,0.7745267545213576,0.6173146220010068,0.8188703571443072,0.638856746680067
27,0.7749971670992142,0.6128902465462456,0.817060303871686,0.6333032929179335
28,0.7763750462982146,0.6181008798628962,0.8186120851293808,0.6381867289405514
29,0.7764607630019384,0.6108506439021669,0.8013732787399324,0.6247000357662607
30,0.7825995685018036,0.5984324803285,0.8009275039518897,0.6151602088851735
31,0.7825995685018036,0.5986078948597489,0.8009275039518897,0.6161472887244954
32,0.7832596206333096,0.5978177430802808,0.8026300589657559,0.6174528089405796
33,0.7832596206333096,0.5979197955173972,0.8026300589657559,0.6167076072750699
34,0.7833100704777559,0.5941863318426756,0.8024782859900025,0.6153568405810039
35,0.7833100704777559,0.5941645846561145,0.8024782859900025,0.6155406595656723
36,0.7833100704777559,0.5941078738810672,0.8024782859900025,0.6147087557937663
37,0.7833100704777559,0.5944026018213249,0.8024782859900025,0.6153304952481381
38,0.786340768799349,0.6182930881457236,0.8185402469720273,0.6304980386852183
39,0.786340768799349,0.6182026374424673,0.8185402469720273,0.6306598638568227
40,0.786340768799349,0.618272965248427,0.8185402469720273,0.6315241035988366
41,0.786340768799349,0.6182158494897293,0.8185402469720273,0.631167571110635
42,0.786340768799349,0.6182666640511996,0.8185402469720273,0.6312160391517263
43,0.787122741388267,0.6198220666427071,0.8191687776251285,0.6332293565750284
44,0.787122741388267,0.6195594543413941,0.8191687776251285,0.632597603537872
45,0.7897447085158433,0.6210442942356803,0.8139156890338806,0.6320033943138452
46,0.7896968782697348,0.6202105069287388,0.8138719802350064,0.6320216276374282
47,0.7867914755020445,0.6185868423402189,0.8267209410441364,0.6258046676911105
48,0.7870368056216966,0.6189128715974571,0.8268254990100997,0.6263089603704699
49,0.7872175842309627,0.6173975489139396,0.8270212999145304,0.6235249983430927
50,0.7873088965189877,0.6175495876146998,0.8270590165874939,0.6248889474321007
51,0.7873088965189877,0.6174597465642506,0.8270590165874939,0.6241647581030625
52,0.7873088965189877,0.6177707348158056,0.8270590165874939,0.6246362332438326
53,0.7872436734561127,0.6171759923745206,0.8270080479239734,0.6234165490783015
54,0.7872436734561127,0.6172959154363362,0.8270080479239734,0.625072059314661
55,0.7896605587187959,0.6096597745211865,0.828798709490085,0.6158417341621527
56,0.7905937740828232,0.6067533608013304,0.8418136296932024,0.6102517623771491
57,0.7905937740828232,0.6070712599029198,0.8418136296932024,0.6093531423956566
58,0.7902742584013299,0.6082455531159139,0.8416679453006584,0.6122440009757791
59,0.7902742584013299,0.6078378129638751,0.8416679453006584,0.6126075624041886
60,0.7902742584013299,0.6078861889141169,0.8416679453006584,0.612465207272565
61,0.7856721077405727,0.6131166175670257,0.8403801680084614,0.6166940757777519
62,0.7874029331148897,0.6175918362195232,0.8408360383129818,0.6221570844174951
63,0.7874029331148897,0.617169819053747,0.8408360383129818,0.6207959317555728
64,0.7874029331148897,0.6172256287885336,0.8408360383129818,0.620043914178494
65,0.7874029331148897,0.6172919558182521,0.8408360383129818,0.6216393408913808
66,0.7904415406894139,0.609492166165692,0.8494712626254408,0.6160870172159635
67,0.7904415406894139,0.6090631209404223,0.8494712626254408,0.6161576124091912
68,0.7903471515217516,0.6093878632712043,0.8495143610264149,0.6152294783583354
69,0.7928276022070287,0.611470103993333,0.8532442657450977,0.6178027251804341
70,0.7929453185107368,0.60620797796486,0.8532719119777503,0.6151767170762612
71,0.7929453185107368,0.6062101012592933,0.8532719119777503,0.6156846946684811
72,0.7929453185107368,0.6059702952138999,0.8532719119777503,0.6149641920869915
73,0.7929453185107368,0.6060996629004242,0.8532719119777503,0.6154931070209274
74,0.7929453185107368,0.6062670064517175,0.8532719119777503,0.6149065238651785
75,0.7938405582456081,0.605316681172928,0.8555289501521557,0.6138636488442881
76,0.7938195374770889,0.6044402534720359,0.855717165346135,0.6142631875487086
77,0.7938195374770889,0.6043166335570669,0.855717165346135,0.6131038840583773
78,0.7960716957954773,0.6102719062050793,0.8571562229658681,0.6227941243027549
79,0.795830669713012,0.6100460354473571,0.8574791401774362,0.6199401769924833
80,0.795830669713012,0.6104184459635701,0.8574791401774362,0.6223548456718937
81,0.795830669713012,0.6099915240327336,0.8574791401774362,0.6219645901058716
82,0.7972138362815816,0.6045881187041642,0.8581241422357919,0.6173366445670572
83,0.7998876780372361,0.6076847454540746,0.8638931785570015,0.62369621213503
84,0.7998876780372361,0.6077473736622756,0.8638931785570015,0.6228376707265832
85,0.7998876780372361,0.6079369261905829,0.8638931785570015,0.6223124352432631
86,0.8001020898761331,0.6163524164193191,0.8639360671299446,0.6301867239158
87,0.8016243820728215,0.614466949975697,0.8649622053695941,0.6267303511741339
88,0.8016243820728215,0.6131686909989156,0.8649622053695941,0.6253090572155304
89,0.8016243820728215,0.6135543078190311,0.8649622053695941,0.6256148832514754
90,0.7916930590110098,0.6023406984134724,0.8543839531066275,0.6135616965307492
91,0.7916930590110098,0.6018830934044941,0.8543839531066275,0.614638885074771
92,0.7916930590110098,0.6018776385291014,0.8543839531066275,0.6139538061904393
93,0.7916930590110098,0.6019416948018017,0.8543839531066275,0.6150010174519741
94,0.7916930590110098,0.6022804007978905,0.8543839531066275,0.6163543083106824
95,0.7928258647394915,0.6197878751099462,0.8559672870514081,0.6407862176455884
