nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test
1,0.6305537452520235,0.5608053830007425,0.664549364815475,0.5593595779477692
2,0.6478809336364556,0.5763930276557583,0.6764297128515271,0.574006840928673
3,0.6344671761938551,0.604593655900305,0.6727679575563859,0.6125380104964062
4,0.6271397988109275,0.5932597272389407,0.676259645114157,0.5981320958988791
5,0.6296479452570551,0.5774755021885356,0.6930430676895145,0.5817249502700775
6,0.632914984998865,0.5806242212806032,0.6929853676585921,0.581518336400315
7,0.6320210763162745,0.5831959580951155,0.6929853676585923,0.581518336400315
8,0.6320223632094264,0.5832307770366196,0.6929853676585923,0.581518336400315
9,0.6331838487837087,0.594972614835952,0.694598450850056,0.59432138428193
10,0.6329860046898709,0.5954179194795348,0.6944594380931836,0.59432138428193
11,0.6376524528345915,0.5860783039664719,0.7062126962217411,0.5961541139264307
12,0.6337548676976752,0.5732123418789239,0.7009421393343196,0.5780029432341788
13,0.6314730685668675,0.5729204971140321,0.7036511801162216,0.5789908866333169
14,0.6318592172258912,0.560765339088892,0.6913124869837755,0.5679595150723518
15,0.6318592172258912,0.5607931942420954,0.6913124869837755,0.5679595150723518
16,0.6316901983802901,0.560807121818697,0.6912326777731118,0.5670988476805834
17,0.6299281769148966,0.547715199813126,0.6877241723447668,0.5617808951369612
18,0.6299111780623191,0.547715199813126,0.6877222573892581,0.5617808951369612
19,0.6208424485574299,0.5478185700220963,0.6702520086063097,0.5606837544015645
20,0.6199812975390914,0.5480971215541299,0.6694726287574994,0.5602640580829806
21,0.6200860457510677,0.54851494885218,0.6693377730605252,0.5603917581014868
22,0.617915793158085,0.5609730868294072,0.6567830790169968,0.5782971329990538
23,0.6180249814392857,0.5609730868294072,0.6567825591916224,0.5782971329990538
24,0.6183738996945297,0.5609730868294072,0.6571142583876081,0.5782971329990538
25,0.6146135960682146,0.5571651101104959,0.6647407605553248,0.5779053332750722
26,0.6156165089766807,0.5589290178445528,0.6664971036615801,0.5800986765315849
27,0.6140080058676449,0.5575894331158187,0.6646880895493624,0.578891927943551
28,0.6140122555807893,0.5575894331158187,0.6646809209989961,0.578891927943551
29,0.6139686881339097,0.556388987072274,0.6652139026612922,0.5786711092454846
30,0.6101136439396735,0.5472798109168822,0.645295405983842,0.5656830286069463
31,0.6101039277802519,0.5472798109168822,0.6452133169920243,0.5656830286069463
32,0.6100979908040232,0.5472798109168822,0.6452227342787118,0.5656830286069463
33,0.610123915977233,0.5474154961271942,0.6453341396382389,0.5657024147101519
34,0.6101471754621066,0.5474154961271942,0.6453341396382389,0.5657024147101519
35,0.6102785575118077,0.5480812750885791,0.6453958146803442,0.5664247191293197
36,0.6024589054684653,0.5472450393696721,0.6291225933902537,0.5619337863228593
37,0.6024665452553233,0.5472450393696721,0.6291209252208124,0.5619337863228593
38,0.6024571958864058,0.5472450393696721,0.629105294803616,0.5619337863228593
39,0.602459760259495,0.5472450393696721,0.6291136932792771,0.5619337863228593
40,0.6024521447146411,0.5472450393696721,0.6291223677235196,0.5619337863228593
41,0.6024546993909287,0.5472450393696721,0.6291097731514492,0.5619337863228593
42,0.6082934457154232,0.5647798583111763,0.6378984078665085,0.5793042162142299
43,0.6084160802551892,0.5699258944725114,0.6396106162646398,0.5835598553756127
44,0.6086889789045354,0.5715670240202817,0.640759198894463,0.5853206308428616
45,0.6086932293149174,0.5715948791734851,0.6407461178224675,0.5855010955975325
46,0.6121881036979719,0.5832590308040743,0.6305900578615335,0.5982618652674567
47,0.612531239569242,0.583139802588399,0.6313670220779214,0.5982401173880965
48,0.6129512714085598,0.5842332631353886,0.6322529615903953,0.5994901247590448
49,0.6129453014357298,0.5842193355587868,0.6323526239396922,0.5994901247590448
50,0.6131968813911219,0.5842189765032163,0.6330942519404368,0.5993305391985253
51,0.6126721153983252,0.5829116438956408,0.6330377870395693,0.5988057782929648
52,0.6123408223149218,0.5831344761323939,0.6326884101415321,0.5995829475657661
53,0.6120323868801169,0.5824112687993989,0.6326311251912842,0.5991176546734078
54,0.6120298079833428,0.5823694860695937,0.632644871186461,0.5989371899187368
55,0.6120357585840874,0.5823834136461954,0.6326590895165736,0.5991176546734078
56,0.6120348980841079,0.5824109097438284,0.632729298523695,0.5991176546734078
57,0.6176753685547057,0.5887894312494654,0.6271221623899613,0.5966014054118467
58,0.6209475598626865,0.593628894255675,0.6198161155218106,0.6042832410846819
59,0.62465035533698,0.6167910372311173,0.6291964016550027,0.6309079673430388
60,0.6246511263879597,0.61669114962364,0.62928127815899,0.6307921470829901
61,0.6246393537062642,0.6167229343969411,0.629184560953278,0.6312884816077963
62,0.6246358817553921,0.6166962164954791,0.6291031399048934,0.6310011020381756
63,0.6246461451297979,0.6167637331779886,0.6291941823320906,0.6307921470829901
64,0.6246435894726858,0.6167360579316647,0.6291041513826487,0.63084341362982
65,0.6246580544585724,0.6167908093227517,0.6292155308560364,0.6312239278945776
66,0.6242526070021961,0.6165242741853089,0.6292974885336562,0.6311178412015281
67,0.6239615935550751,0.6152718501002251,0.6294831679764602,0.6299512772598538
68,0.6236253262133362,0.6144999592247531,0.6297663482887855,0.6293687952653307
69,0.6236261058356011,0.614555936181046,0.6297798841713139,0.6289236288797372
70,0.6235972204587428,0.614553408681679,0.6297412529947941,0.6287431641250663
71,0.6232176916422704,0.6135904370374373,0.6297407082669515,0.6290598943302019
72,0.6230175497257386,0.6128590863810273,0.6296926044694853,0.6283799629510304
73,0.6223075648594517,0.6121692719875658,0.6295946703507236,0.6281352209904195
74,0.6220826732521653,0.6117536462121549,0.6296447680752175,0.6280864917368684
75,0.6217133630866745,0.6117390207074422,0.629422138962149,0.6281458217315059
76,0.6217069528893308,0.6116441140410667,0.6294803442225265,0.6282060697894464
77,0.6217345798815863,0.6118335682641661,0.6294271451979748,0.6279971148342609
78,0.621713396621618,0.6117104381831321,0.6294712146451503,0.6278595732737444
79,0.6217184719180098,0.6116717755793077,0.6294674627059927,0.628342262772777
80,0.6217244015214299,0.6117113704945559,0.6294820472521269,0.6280466982917092
81,0.6217031117716837,0.6117648800905928,0.6294594672623169,0.628342262772777
82,0.6217210294351145,0.6117387612906916,0.6294337500508087,0.6282103754447246
83,0.621729478723749,0.6117802321541428,0.6294105755484198,0.6282706235026649
84,0.6217090933599291,0.611656756725621,0.6294648336334319,0.6278595732737444
85,0.6217022109482284,0.6118193147108371,0.6294719654278281,0.6285878745736871
86,0.6217278683187967,0.6116704914454489,0.6294904851149226,0.628342262772777
87,0.6217086072340245,0.6116718437097429,0.6294080458206921,0.6280741824613939
88,0.6217177060518414,0.6116716029055638,0.6294365107521228,0.6282706235026649
89,0.6217354855104069,0.6116984002628161,0.6294923877094684,0.6281781729219524
90,0.6217167089478186,0.6117247663418434,0.6294733083983266,0.6283141400298401
91,0.6217235619943583,0.6116566699826143,0.6294393847547408,0.6284516815903565
92,0.6217167101134723,0.6117253524935101,0.6294303732759274,0.6282427266351711
93,0.6217261132069322,0.6117121357949136,0.6294918441429782,0.628342262772777
94,0.6217083185831666,0.6116710102789501,0.6294818327549982,0.6282495863166215
95,0.6216997703022542,0.6117103457774478,0.6294479972491913,0.6282706235026649
96,0.6217134121476452,0.6117112902264965,0.6294692605488612,0.6281330819421486
97,0.62173044176869,0.6116445453192916,0.629437968310935,0.6281978615308101
98,0.621736337981859,0.6117128143522645,0.6294996546172282,0.6276566852488321
99,0.6217227347701515,0.6115645966633844,0.6294207338437772,0.6279869344489061
100,0.6217219017138207,0.6114967718585305,0.6294570597908277,0.6279869344489061
101,0.6217244681874542,0.6115793625752677,0.6294593727295577,0.6283039596444854
102,0.6217320588174824,0.6115911532164576,0.6294644619083603,0.6281876811454554
103,0.6217048834578518,0.6116042961219417,0.6294424949956141,0.6281231274322367
104,0.6217176962347639,0.6115508797438586,0.6294654907712556,0.6285131404751138
105,0.621709860912991,0.61163168044313,0.6294651383345533,0.6285776941883325
106,0.6217048428723071,0.6115902152423562,0.6294559625357129,0.6279869344489061
107,0.6217670500895618,0.6123682793701899,0.6289128778029759,0.6285208038204274
108,0.6217560234765686,0.6123261226621711,0.6289134385049555,0.6283764025784606
109,0.6217764650478197,0.6124901253173652,0.62891166837231,0.6287817985749171
110,0.6217594929973755,0.6123809099171196,0.6289665877689267,0.6287607613888737
111,0.621776498299176,0.6124351840012445,0.6289566800094467,0.6283707483459966
112,0.6224520491449497,0.609892871672216,0.6292467433783215,0.6260905763111042
113,0.6224452302548003,0.6098529249345328,0.629281185020668,0.626155130024323
114,0.6224618336230169,0.6098798893028514,0.6292624958919613,0.6259740719366315
115,0.6224508571261602,0.6098795560929882,0.6292413365199845,0.6259740719366315
116,0.6227073767977612,0.6100663998177234,0.6291042463911621,0.6259585965786304
117,0.622682665663076,0.6100122862697178,0.6290978878232919,0.6259585965786304
118,0.622670770716193,0.6099858277850063,0.6291041556783259,0.6258856087313326
119,0.6226810184012603,0.6100517271237939,0.6291014928081557,0.6260947895619611
120,0.6227078106654662,0.6110027080369363,0.6288870434334666,0.6268327679474417
121,0.6227192789155215,0.61096242808939,0.6289144571960832,0.6269044072175537
122,0.6227057227043776,0.61097539832113,0.6288844446772797,0.6266952263869252
123,0.6227022546068779,0.61097539832113,0.6288580824199264,0.626768214234223
124,0.6227047901345288,0.6109355439891312,0.6288692028785399,0.626768214234223
125,0.6226988553218809,0.6109622554156462,0.6288358798993765,0.626768214234223
126,0.6227030966769764,0.6109482612790677,0.628902467433601,0.6266306726737065
127,0.6227099385676858,0.6110429879844824,0.6289023671153431,0.6269689609307724
128,0.622709946401596,0.6110161038842236,0.6289133356463676,0.627150019018464
129,0.6227146050143715,0.6109889789797859,0.628899707288676,0.6269044072175537
130,0.6227732576270928,0.61124072667962,0.6286246976436942,0.6268223733607987
131,0.6227876852534953,0.6112677713159982,0.6286123612444661,0.6268223733607987
132,0.6227732878929397,0.6112807536853626,0.6285820205745807,0.6266259323195277
133,0.6227715540160522,0.6113078907274251,0.6286010752119349,0.6268223733607987
134,0.62320183372391,0.6108791312085461,0.6282612638005944,0.6265980022925841
135,0.6232017257320678,0.6108792114766055,0.6282818389003852,0.6263888214619556
136,0.6231948355206611,0.6108254432760878,0.6281946640208835,0.6265263630224721
137,0.623183018059222,0.6108787055929986,0.628193298121409,0.6264618093092534
138,0.6231825792673253,0.6109188931348606,0.6282551693290082,0.6266625560058028
139,0.6231779011563237,0.610851982028859,0.6282854113480937,0.6266625560058028
140,0.6231813741867784,0.6108386785872559,0.6282151187869365,0.626401561251313
141,0.6234978539356089,0.6107865083056188,0.6257754538944263,0.6266869068243027
142,0.6234996394551138,0.6107324068952378,0.6257460894016866,0.6264412950233924
143,0.6234889645319778,0.6107055227949789,0.6257285288082504,0.6263051020400618
144,0.6235038577367573,0.6106919542739477,0.6257113064159968,0.6264412950233924
145,0.6235230660815839,0.6112758490325891,0.6249847660596156,0.6273792198518946
146,0.6235068989465843,0.6112086849847841,0.6248960961838578,0.6271111395405116
147,0.6235460562935501,0.6113162213858196,0.6249874390653023,0.6273792198518946
148,0.6235259859333497,0.6112358341644711,0.6249417152995204,0.6274240849562556
149,0.6235247495831642,0.6112361673743342,0.6249035109570429,0.6270465858272929
150,0.6232182199520622,0.6116376171774072,0.6248642792659929,0.6277966899382161
151,0.6230057397277496,0.6119460548748791,0.624616653194144,0.6279101978837821
152,0.6228033321661218,0.6120260164806803,0.6248222111548426,0.627879277341888
153,0.6227905562245556,0.611999385322225,0.6247527104787614,0.627879277341888
154,0.6228194243445009,0.6123114613059427,0.6248095812203288,0.6281799515275945
155,0.6228152401561433,0.6123109554223356,0.6248211803673728,0.6281799515275945
156,0.6228151245924598,0.6122848301474874,0.6248274423175143,0.6281799515275945
157,0.6228101017992345,0.6123112083641393,0.6247831898786569,0.6278024523986319
158,0.6228221272373483,0.6123242710015634,0.6248334093565093,0.6279988934399029
159,0.6228003189063367,0.6122574401636214,0.6248417063114655,0.6279988934399029
160,0.6228254749398658,0.6123241907335039,0.6248687212709185,0.6281350864232336
161,0.6228195430354871,0.6122976398431079,0.6248428058285902,0.6281350864232336
162,0.6228185652292086,0.6123383454062017,0.6248813106998335,0.6283161445109251
163,0.6228178260262787,0.6123245239433668,0.6248162572510657,0.6279988934399029
164,0.622820400670233,0.6123112083641391,0.6248624260423667,0.6281350864232336
165,0.6228156880219454,0.6122573598955617,0.6248219246242902,0.6279386453819625
166,0.6228101351923842,0.6122976398431079,0.6248591469744375,0.6279988934399029
167,0.6228092841271373,0.6122973869013044,0.62485464301144,0.6279988934399029
168,0.6227964823642622,0.6122838183802732,0.6248645609094687,0.6281799515275945
169,0.622809269245524,0.6122708481485333,0.6248431704767456,0.6279431918183772
170,0.6228049995618143,0.6123112083641391,0.6248182339493757,0.6279988934399029
171,0.6228297528613487,0.6123511551018223,0.6248425682885166,0.6279988934399029
172,0.6228187129890823,0.6123244436753074,0.6247902354470184,0.6279988934399029
173,0.6228168696682134,0.6123383454062017,0.6248038969247418,0.6279988934399029
174,0.6228161118765068,0.6123511551018224,0.624848396329839,0.6283161445109251
175,0.6228058873880655,0.6123112083641393,0.6248376590694714,0.6279988934399029
176,0.6228097098015543,0.6123112083641393,0.6248351032525236,0.6281799515275945
177,0.6228024880742364,0.6123107024805322,0.6248310864243154,0.6281350864232336
178,0.6228229055667944,0.6123247768851705,0.6248827644830037,0.628042409967078
179,0.6228195533522866,0.6123245239433668,0.6248502026878946,0.6281350864232336
180,0.622812642411422,0.612298145726715,0.6248372685406502,0.6281350864232336
181,0.6228212982705259,0.6123378395225947,0.6248928826295975,0.6283161445109251
182,0.622828861355249,0.6123652295064606,0.6248044752437414,0.6279988934399029
183,0.6228276502821652,0.6123242710015634,0.6248779017219374,0.6283161445109251
184,0.6228135266507854,0.6123375865807911,0.6248525114587014,0.6281350864232336
185,0.6228228600682952,0.6122978927849115,0.6248669274177971,0.6278613518793864
186,0.6228143685433689,0.6122976398431079,0.6248032248698431,0.6279988934399029
187,0.622836539939102,0.6123514080436259,0.6248767367899848,0.6281350864232336
188,0.6228092427582836,0.6122443775261972,0.624822637328733,0.6279988934399029
189,0.6228127285913252,0.6122976398431079,0.6248605057903941,0.6281799515275945
190,0.6228170022169527,0.6122839910540172,0.6248847101344059,0.628042409967078
191,0.6228126587735817,0.6123242710015634,0.6248524574067693,0.6281350864232336
192,0.622808456782655,0.6122973869013044,0.6248653780191307,0.6281350864232336
193,0.622822152198108,0.6123237651179564,0.6248594966030733,0.6278613518793864
194,0.6228347765337423,0.6123114613059427,0.6248836786185471,0.6281350864232336
195,0.6228364952669473,0.612391860664916,0.6248428137505078,0.6281799515275945
196,0.6228143235661094,0.6123114613059427,0.6248634729902893,0.6278613518793864
197,0.6228152897168358,0.6123108751542762,0.6248136629325072,0.6279431918183772
198,0.6228016664358051,0.6122705028010456,0.6248922551181227,0.6278613518793864
199,0.6228066953389444,0.6122976398431079,0.6248532018466334,0.6281350864232336
200,0.6228083650571132,0.612298145726715,0.6248061053790616,0.6281799515275945
201,0.622823773737373,0.6123647236228535,0.6248575530605942,0.6281350864232336
202,0.6228220080681579,0.6123383454062017,0.6248211765437951,0.6279988934399029
203,0.6227973102142637,0.6122705028010456,0.6248410611953185,0.6279988934399029
204,0.6227930414341385,0.6123112083641391,0.624876525338656,0.6281350864232336
205,0.6228271316393128,0.612324523943367,0.6247989871986609,0.6279988934399029
206,0.6228229282392823,0.6123511551018224,0.6247895886196331,0.6279988934399029
207,0.62283143363659,0.6123921136067195,0.6249092768873288,0.6283161445109251
208,0.6228150862306334,0.6122978927849114,0.624810969548461,0.6279988934399029
209,0.6228391484788266,0.6123242710015634,0.6248889997291891,0.6278613518793864
210,0.6228203662747407,0.612364976564657,0.6248554018591953,0.628042409967078
211,0.6228328102457048,0.6123780392020812,0.6248637004757348,0.6281350864232336
212,0.6228144155537204,0.6122705028010456,0.6248445194913117,0.6279988934399029
213,0.6228173312479797,0.6122983986685185,0.6248247160648239,0.6281799515275945
214,0.6228066880076546,0.6122843242638802,0.6248139068895018,0.6281799515275945
215,0.6228127395496399,0.6123242710015634,0.6248696411089709,0.6283161445109251
216,0.622821232462152,0.6123378395225946,0.6248343946357446,0.6279988934399029
217,0.622808369359858,0.6122842439958207,0.6248118902751247,0.6277467507771062
218,0.6228211707403881,0.6123242710015634,0.6248774876203761,0.628042409967078
219,0.622803293946089,0.6122571872218179,0.6248166545740218,0.6279988934399029
220,0.6228288959883941,0.6123514080436259,0.6248916457844915,0.6281350864232336
221,0.6228169064507354,0.6123516609854294,0.6247943109582775,0.6281799515275945
