nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test
1,0.6333968059471341,0.5803116491426192,0.6670578783519044,0.621693744747741
2,0.6333879396925879,0.5872045549511892,0.668278196371929,0.6288758649038082
3,0.6346512460398758,0.5297675906901984,0.665028338198051,0.5680217298238418
4,0.6374231227125248,0.5626943399408276,0.6733693177296451,0.6126360160597569
5,0.6365276684684124,0.5678605554331593,0.6717459055453665,0.6133559990232014
6,0.6346708867116991,0.5707490898864215,0.6826450023538407,0.611718483506098
7,0.6345139513126288,0.5696850059415406,0.6762755633143288,0.6088260332588318
8,0.6327503917749884,0.5690255077458197,0.6714038489782896,0.6093126253783296
9,0.6342564573353154,0.5667955278380857,0.6768061665539274,0.6096042342245116
10,0.634663143169656,0.5719598976629097,0.683835268123922,0.612247821156169
11,0.6423501061298464,0.5749500275014865,0.6923853721998541,0.6061049521812251
12,0.6432128500026311,0.5772578596290743,0.6954268825680749,0.6129649211416903
13,0.6436762920260298,0.5786777300371688,0.6965262816940807,0.6163468208793692
14,0.6437304871729933,0.5789811427721208,0.6949274943349019,0.6178161778733805
15,0.6467107183478666,0.588703430510187,0.6963509159774655,0.6263031140898054
16,0.6489081156280785,0.5976407654233535,0.695945596000423,0.639287683627631
17,0.6474493199283871,0.5979722071547388,0.6965222706939279,0.639354363017509
18,0.6470797711648204,0.5965395019739036,0.6938809896506872,0.6391439478425295
19,0.6476417525452969,0.5989590426500129,0.7023038690960959,0.6402250040978166
20,0.6464108594690223,0.6013768486132567,0.7006538607495457,0.6427235446940233
21,0.64707476193249,0.6031755505825049,0.7006222979975474,0.6440082753402112
22,0.6476428865446542,0.6062463255671668,0.7034416156274288,0.6445790158345138
23,0.646946645479291,0.6029206766516575,0.7003877384131396,0.6423177497506904
24,0.6476232395306696,0.6060817250356687,0.700845716414177,0.6444093022438623
