nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test
1,0.6283249614656695,0.6005674455751417,0.6591679122744235,0.6062137073738609
2,0.6350580479532144,0.5987202630287664,0.6653696007108131,0.6001936784884017
3,0.6368666344470268,0.6002232217075925,0.6652010025400223,0.601264372640957
4,0.6375263805716802,0.5995582917160036,0.6751630556691394,0.6059580976792698
5,0.6337352017066301,0.615862540830493,0.6651035690798984,0.6159845625433197
6,0.6337393117240453,0.615862540830493,0.6651035690798984,0.6159845625433197
7,0.6275892836497874,0.6019673840812857,0.6779899153852714,0.6103880567813099
8,0.6275171855964349,0.6018985609567158,0.6779899153852714,0.6103880567813099
9,0.6310125146567334,0.6053882532940655,0.6842829477186358,0.6133733264476557
10,0.6281471333917635,0.5922954302226253,0.6658542036588081,0.6048387769628839
11,0.6281900925014386,0.5925556774574984,0.6658542036588081,0.6048387769628839
12,0.6273972345856264,0.5944424699103286,0.6659031258341445,0.6048387769628839
13,0.6292426381920461,0.5991919819467632,0.6657367169227799,0.604210790213766
14,0.6285857114576504,0.5991269201380449,0.6659034632038313,0.6048387769628839
15,0.6325173069408926,0.5991269201380449,0.6681096186019616,0.6036251107622103
16,0.6329175297134988,0.5991968873726057,0.6684143976070274,0.6032148462822875
17,0.6342323572576127,0.6007474651616673,0.6734089586827003,0.602610468918952
18,0.6376608881868774,0.5974003742858384,0.6898268159039069,0.5957759449123294
19,0.6285640514838418,0.5484184409876889,0.6776708982187776,0.5552801262831168
20,0.6287908650516922,0.5485609926626711,0.6780915025652254,0.5556037888669085
21,0.6287655497244676,0.5485609926626711,0.6780524777778129,0.5556037888669085
22,0.6265894288034037,0.5450631400689366,0.6757457321722964,0.5511850605992413
23,0.6312900480332845,0.5447339596696011,0.6772834472769125,0.5476244848516544
24,0.6280181401330159,0.5495636880301777,0.6609608701329063,0.5517083854561277
25,0.6227895913972394,0.5494835809580532,0.6589928996501124,0.5579093778855346
26,0.6094006757363772,0.5457272801942822,0.6432142813928807,0.5556776848534802
27,0.6093837428076115,0.5457272801942822,0.6432089234813446,0.5556776848534802
28,0.6096019894908423,0.5457272801942822,0.6434790967072077,0.5555046545785792
29,0.6096189224196079,0.5458698318692644,0.6434844432513728,0.5558299102214646
30,0.6096019894908423,0.5457272801942822,0.6434759650391246,0.5555046545785792
31,0.609653113004397,0.5458649264434219,0.6435092244754044,0.5556260442849996
32,0.609653113004397,0.5458649264434219,0.6435092244754044,0.5556260442849996
33,0.6083568235257859,0.5458773545009675,0.6422245265131525,0.5555578766721709
34,0.6083398592779382,0.5458773545009675,0.6422162017763875,0.5555578766721709
35,0.6083653056497097,0.5458773545009675,0.6422368832247958,0.5555578766721709
36,0.6084036618828645,0.5460074781184041,0.6421603474007691,0.5555719243862225
37,0.6084037929274114,0.5460074781184041,0.6421662032437702,0.5555719243862225
38,0.6078475613960365,0.5466379951423637,0.6421342622360401,0.5572892126647714
39,0.6140381543908597,0.570773090268193,0.65196927501177,0.5763568682204344
40,0.6135241493392175,0.570773090268193,0.6516964012341949,0.5776491366932973
41,0.6135325082256005,0.570773090268193,0.6517075393144734,0.5776491366932973
42,0.6138496911927314,0.572855068147178,0.65206587326162,0.5813470043695841
43,0.6138244221493577,0.572855068147178,0.6519708701571959,0.5813470043695841
44,0.6138159322184279,0.572855068147178,0.6519693125552608,0.5813470043695841
45,0.6138075811390509,0.572855068147178,0.6519672124642449,0.5813470043695841
46,0.6137905389419962,0.572855068147178,0.6519584270528933,0.5813470043695841
47,0.6138159322184279,0.572855068147178,0.6519664589781123,0.5813470043695841
48,0.6185928421897792,0.5754943643348612,0.6516424033079984,0.5809556116884413
49,0.6186015333074569,0.5763770881684047,0.6516683033046924,0.5817943853213476
50,0.6253115203124686,0.5762394419192651,0.6398564995534357,0.5816192727630888
51,0.6253283997996204,0.5762394419192651,0.639861525388074,0.5816192727630888
52,0.6253032077099365,0.5762394419192651,0.6398468229872482,0.5816192727630888
53,0.6252947255860126,0.5762394419192651,0.6398404608581176,0.5816192727630888
54,0.6252862434620888,0.5762394419192651,0.6398351714751711,0.5816192727630888
55,0.6253032077099365,0.5762394419192651,0.639847619958267,0.5816192727630888
56,0.6253032077099365,0.5762394419192651,0.6398403206174165,0.5816192727630888
57,0.6253115587893135,0.5762394419192651,0.6398424320758033,0.5816192727630888
58,0.6253032077099365,0.5762394419192651,0.6398465416877173,0.5816192727630888
59,0.6242474094651341,0.5547690450422319,0.6317154267883837,0.5689400296711786
