nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
1,0.6195279241342607,0.59503465899394,0.6507168831726691,nan,4.1287401590462e-17
2,0.6239366246819289,0.5848310451507379,0.6301130983384449,nan,8.970159991326779e-06
3,0.6205630207833256,0.6193124439277524,0.6532417996670417,nan,1.1578949646344922e-06
4,0.6213202929748174,0.6192442872914916,0.6532417407542399,nan,4.377389426834996e-06
5,0.6232012070131937,0.6221558565165429,0.6532132461077454,nan,5.573476384677763e-06
6,0.6232231524334034,0.6222673218579908,0.6532135872504364,nan,3.168780835814223e-06
7,0.6233843734290581,0.6227551608889194,0.653214317830094,nan,0.0
8,0.6233008216957671,0.6235862322090491,0.6532155236218667,nan,1.7562663575877768e-06
9,0.6234477874184485,0.6225981691036455,0.6552213715314956,nan,9.343751337839834e-07
10,0.6239542234420229,0.6246464127615629,0.6572235776204411,nan,1.4482911417109936e-06
11,0.6256712792404783,0.6294241490908214,0.6565833009145134,nan,2.760274203523239e-06
12,0.6273026796177884,0.6291067980155127,0.6573926415189539,nan,2.3604261284082845e-06
13,0.6273420617273795,0.6298210335305761,0.6588984924060276,nan,1.8452008430616148e-06
14,0.626583984099242,0.6306209578651298,0.6619847088131338,nan,7.990576167348975e-07
15,0.6226364912874309,0.624857719102819,0.6656931689102829,nan,1.3090791723566396e-06
16,0.6220876862144451,0.6240207724542378,0.666557846262729,nan,1.9209191108525977e-06
17,0.6244815717506514,0.623961554177382,0.6667472722992309,nan,2.6483706404056963e-06
18,0.6227741632101482,0.6237468128264732,0.6642099342338399,nan,2.7923480470261494e-06
19,0.625043733504536,0.6262498835487111,0.6693939428954904,nan,2.9490704140905117e-06
20,0.6303458776776436,0.6243721672867159,0.668624608952773,nan,2.1099402397486885e-06
21,0.62277729111532,0.6232477973434707,0.6569525944302235,nan,3.414949064036923e-06
22,0.6106997485372684,0.6218014115947378,0.6463574493941262,nan,4.488454740641521e-06
23,0.6056447204964768,0.6176969731348771,0.642479240518386,nan,5.319238300495463e-06
24,0.60460693650097,0.6152076795348046,0.6413426957143553,nan,3.398019357951595e-06
25,0.6033232827467503,0.6098137008901434,0.6387175653210104,nan,5.806133636970779e-06
26,0.6020635017743426,0.6088570950844285,0.6372905998812688,nan,6.1118294389908235e-06
27,0.6013530495528601,0.6083945176531951,0.6363878626035554,nan,7.417016026349257e-06
28,0.6019413936752578,0.608639571854168,0.6367894837987184,nan,6.734207417530139e-06
29,0.6023234061809626,0.6088452240886095,0.6370886129924939,nan,8.071125921596207e-06
30,0.6028136180320518,0.6088706510703554,0.6376014268726731,nan,3.4121803074426314e-06
31,0.5997710010986199,0.5987027505587247,0.630038083866407,nan,2.0004309253744942e-06
32,0.5972975293025659,0.5876160100776261,0.6294315100302436,nan,4.118189525335066e-06
33,0.5970682187160252,0.5893914153340412,0.6289161631055368,nan,3.955340612384813e-06
34,0.5966812562900105,0.5878334287041816,0.6288023435980263,nan,3.179328960104786e-06
35,0.5966822504381412,0.5878344564809131,0.6288029726625182,nan,3.665448715036675e-06
36,0.5970627986875463,0.588168717399874,0.6294058327292584,nan,1.919224060015349e-06
37,0.5970405251337126,0.588220987627561,0.6292798242063208,nan,7.22413271882906e-07
38,0.5970458129085484,0.5881905703157899,0.6292896863648225,nan,4.529841964696349e-07
39,0.5970432872726628,0.5881724485338744,0.6292846021524383,nan,4.5829934117191816e-07
40,0.5972311423422829,0.5885453643052541,0.6293941520630159,nan,5.194441260830374e-07
41,0.5972314260170137,0.5885454293766601,0.6293946616191588,nan,9.201853189902431e-07
42,0.5995175820650549,0.5851700661061237,0.6302514330692726,nan,3.2960398956725305e-06
43,0.5995046507046597,0.585172874837131,0.6302211103250821,nan,2.5537247613034522e-06
44,0.5994970169592964,0.5851682477631597,0.6302018346636625,nan,2.2525542985418045e-06
45,0.5997877997771989,0.5851239502070424,0.6305629438504198,nan,2.1101022018968645e-06
46,0.6015288223531845,0.5823751987102741,0.6334024316850597,nan,2.690418087388252e-06
47,0.6015282896382518,0.5823537051928472,0.6333768416379794,nan,2.1967630817357088e-06
48,0.6027429037622422,0.5710946228779965,0.6317242048982692,nan,3.8072029097727427e-06
49,0.602743788758431,0.5710941116883198,0.6317246567988175,nan,2.9062299193695114e-06
50,0.6027429632805427,0.571093238461855,0.631723827243829,nan,3.9535474287160436e-06
51,0.6033626696084696,0.573570386447388,0.633031115142132,nan,2.1482326641349793e-06
52,0.6060378047988861,0.5801244572997872,0.6376472688557177,nan,3.2104118129000893e-06
53,0.6059286012401094,0.5799694511740044,0.6375930264462956,nan,2.989958472632175e-06
54,0.6059144166265117,0.5799694847152312,0.6375624420762381,nan,3.497473832670695e-06
55,0.602151341490637,0.576410083430021,0.6439999024254783,nan,2.95306703600779e-06
56,0.602553605336537,0.5768522153891469,0.6436147096533336,nan,3.8130813280382956e-06
57,0.6016386500983578,0.576856719253293,0.6435045981799643,nan,3.1940398580334923e-06
58,0.6038462344331057,0.5700542798052486,0.640626823426884,nan,3.25242504679182e-06
59,0.5983971738616974,0.5775157954703259,0.6359225049301218,nan,2.7535218989026513e-06
