Feat_nb,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
1,0.6325500499188108,0.5478122152677785,nan,nan,2.0643700795231e-17
2,0.6314471403021574,0.5123759166649208,nan,nan,6.881233598410334e-18
3,0.6314471403021574,0.5123759166649208,nan,nan,6.881233598410334e-18
4,0.6284733657276693,0.5620946128765403,nan,nan,1.3762467196820668e-17
5,0.6330626415479612,0.5860042624084192,nan,nan,6.881233598410334e-18
6,0.633445283516828,0.5971992309618782,nan,nan,2.0643700795231e-17
7,0.634862798083312,0.5954382246725701,nan,nan,6.881233598410334e-18
8,0.6377500056665802,0.5906583504587337,nan,nan,6.881233598410334e-18
9,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
10,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
11,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
12,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
13,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
14,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
15,0.6268794951874082,0.5990860234147085,nan,nan,6.881233598410334e-18
16,0.6330452487311945,0.5926709290750859,nan,nan,6.881233598410334e-18
17,0.6330452487311945,0.5926709290750859,nan,nan,6.881233598410334e-18
18,0.6178689401885646,0.60592293867753,nan,nan,2.0643700795231e-17
19,0.6122349872232338,0.6105391296144758,nan,nan,2.0643700795231e-17
20,0.6200675514616849,0.6097035379252255,nan,nan,3.440616799205167e-17
21,0.619815355618568,0.605049449874911,nan,nan,3.440616799205167e-17
22,0.619815355618568,0.605049449874911,nan,nan,3.440616799205167e-17
23,0.619815355618568,0.605049449874911,nan,nan,3.440616799205167e-17
24,0.6183929762893587,0.6026277974532587,nan,nan,2.0643700795231e-17
25,0.6184013927350938,0.6026277974532587,nan,nan,2.0643700795231e-17
26,0.6226919773200494,0.6038249161975472,nan,nan,2.0643700795231e-17
27,0.6286918649876428,0.610628402901729,nan,nan,2.0643700795231e-17
28,0.6286918649876428,0.610628402901729,nan,nan,2.0643700795231e-17
29,0.6281091878394891,0.5874240244341926,nan,nan,4.816863518887233e-17
30,0.6340465437034666,0.5828918606915027,nan,nan,3.440616799205167e-17
31,0.6408748971410866,0.5950869826427221,nan,nan,2.7524934393641335e-17
32,0.6415061002213271,0.5963690339247734,nan,nan,2.7524934393641335e-17
