nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test
1,0.6265122375727703,0.6076175174911131,0.6639204550914695,0.616608415625737
2,0.6318523766902878,0.6053806172514122,0.659064258422011,0.619069200367792
3,0.6440991198390702,0.5964264480924195,0.6649544101814685,0.6088603268686393
4,0.6528554859846851,0.5991928111907786,0.6717723701142706,0.6128203323532726
5,0.6523799497738411,0.5929932279433661,0.6659025192766602,0.6088210273843904
6,0.6557196139473488,0.6002850431970072,0.6598600184844051,0.6141441357485494
7,0.6562307384760706,0.6166977394936106,0.6567522866977253,0.6311841593688171
8,0.6543372671947436,0.6167849304430166,0.6520766749525249,0.6317024910268889
9,0.6556740826312482,0.6154509173829859,0.650902654325076,0.6264546341195132
10,0.6592270442810562,0.6204099848983649,0.6663849166108468,0.6304315074546681
11,0.6603203694515216,0.6181135037677997,0.6691590566126773,0.6281557389208837
12,0.6577385907168619,0.6163444649928833,0.6635050540123838,0.6274632671193299
13,0.654655921711727,0.6197938771935447,0.6631404550566654,0.6245643967095915
14,0.6529127567045647,0.6182268088150779,0.6642923519861217,0.6278857911612155
15,0.653432681020793,0.6209392836396537,0.6613167677840857,0.6301750204491464
16,0.6553775731625617,0.6179767529624653,0.6601254142194145,0.6274798137889983
17,0.6551818132649563,0.6220444666030509,0.6580425114318186,0.6330119192688763
18,0.6546054483721124,0.6224706549013399,0.6690079833379565,0.6339166989309659
19,0.6557309947300072,0.6195505884969958,0.6685123749316702,0.6275166953249383
20,0.6576722942378505,0.6216768454487103,0.6729374460439466,0.6380855764744355
21,0.6583804936658582,0.6205058304393075,0.676815903658017,0.6373911477299581
22,0.6580756756353301,0.621891013253763,0.6787315132312702,0.6363340435448325
23,0.6574542889391392,0.621094149827613,0.6800193393619388,0.635370021215169
24,0.6562342196243831,0.6221039559671873,0.6781117730187141,0.6370139907557779
25,0.6557065064837347,0.6155419784596081,0.6809158844027529,0.628358088972688
26,0.6553488977359317,0.6144019532142593,0.679928781709239,0.6301535410836474
27,0.6555662921028533,0.6141872069743304,0.6772520807055918,0.629858770203312
28,0.6571734796698671,0.6159936130568219,0.6791603324408314,0.6312332202581719
29,0.6595190997613394,0.6160980166715972,0.6810246342288652,0.629615973466312
30,0.6594309686438938,0.6134626997873296,0.6810208078517025,0.6283360399263943
31,0.6595768941290479,0.6130146520344797,0.6836981952228645,0.6263949783589631
32,0.6587573905021143,0.6140774773786155,0.681257598416592,0.6274607115179192
33,0.6595900154636102,0.6132642282717183,0.681834300385159,0.6269578427491349
34,0.6591654507194485,0.6121497024770806,0.680883119215726,0.6221305862815727
35,0.6599610008328293,0.6145973592938219,0.681708235548977,0.6258946311248633
36,0.6597064269229354,0.6133958783452094,0.687682990297022,0.6244966430202744
37,0.6595217562943827,0.6149801920441483,0.6911206995591079,0.6275149370552618
38,0.6592745071046886,0.6154937940627612,0.6822626155838677,0.627301935790886
39,0.6589524515119544,0.6166994687286468,0.6894250889895105,0.6304980454561254
40,0.6597825910221415,0.6152200569686063,0.6862149035024041,0.6300143361404025
41,0.6590452529507036,0.6143817420404524,0.6848946005632476,0.6290864669633759
42,0.6592125728295074,0.6139049433691521,0.6886849957943131,0.6251759679588389
43,0.6584706384085823,0.6146266429559786,0.6873034733962364,0.6300191447356142
44,0.6584912038750282,0.613262068262385,0.6851250439194402,0.6285810628733539
45,0.6570332832867503,0.6133303378862575,0.6862468290731265,0.6288589062234022
46,0.6577887752384198,0.6128490263970747,0.6875313496011134,0.6231357093151244
47,0.6567519617441187,0.6103067611137624,0.6858543996255684,0.6204711952094962
48,0.6556387562534861,0.6110736363664744,0.687310304564329,0.6231803375839331
49,0.6551972250209686,0.6100944872515389,0.6866798468733568,0.6206219999937854
50,0.6553138021211634,0.6104666390476521,0.6812169176502583,0.62158090513289
51,0.6543789663332487,0.6121203786973847,0.6830464676276808,0.6201382680379465
52,0.6541778303395878,0.6134898434324129,0.6827451012688195,0.6262774657330212
53,0.6554480745854223,0.6180541124196821,0.6798646752469599,0.6290708254778064
54,0.6549547815244896,0.6189584923019412,0.6868777531507616,0.6297352302375753
55,0.6546848260744481,0.6183542558372173,0.6749358368974825,0.6288666102116145
