Feat_nb,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
1,0.620767652684414,0.5672303515971601,nan,nan,2.7524934393641335e-17
2,0.620626959838304,0.5940683198493224,nan,nan,3.440616799205167e-17
3,0.620626959838304,0.5940683198493224,nan,nan,3.440616799205167e-17
4,0.6215234297894753,0.5996517128342902,nan,nan,4.1287401590462e-17
5,0.6215234297894753,0.5996517128342902,nan,nan,4.1287401590462e-17
6,0.6231928527345334,0.6073825646596303,nan,nan,4.1287401590462e-17
7,0.6231121208528883,0.608814203886545,nan,nan,2.7524934393641335e-17
8,0.6179183981550344,0.6256359648027942,nan,nan,4.1287401590462e-17
9,0.6179183981550344,0.6256359648027942,nan,nan,4.1287401590462e-17
10,0.6179183981550344,0.6256359648027942,nan,nan,4.1287401590462e-17
11,0.6179183981550344,0.6256359648027942,nan,nan,4.1287401590462e-17
12,0.6179183981550344,0.6256359648027942,nan,nan,4.1287401590462e-17
13,0.6140981026296648,0.5931120501596742,nan,nan,4.1287401590462e-17
14,0.6140636837467129,0.5931120501596742,nan,nan,4.1287401590462e-17
15,0.6140636837467129,0.5931120501596742,nan,nan,4.1287401590462e-17
16,0.6140636837467129,0.5931120501596742,nan,nan,4.1287401590462e-17
17,0.6140636837467129,0.5931120501596742,nan,nan,4.1287401590462e-17
18,0.6140636837467129,0.5931120501596742,nan,nan,4.1287401590462e-17
19,0.6140636837467129,0.5931120501596742,nan,nan,4.1287401590462e-17
20,0.6158042691268051,0.5955493760649666,nan,nan,2.7524934393641335e-17
21,0.6157788715840141,0.5955493760649666,nan,nan,2.7524934393641335e-17
22,0.6157202007074402,0.5955493760649666,nan,nan,2.7524934393641335e-17
23,0.6189604560344992,0.601889614608595,nan,nan,2.7524934393641335e-17
24,0.6190200488242661,0.6030195581114198,nan,nan,2.7524934393641335e-17
25,0.6115462023480388,0.590277968991878,nan,nan,1.3762467196820668e-17
26,0.6113351894396967,0.5897757718795114,nan,nan,1.3762467196820668e-17
27,0.6113168538579336,0.5892735747671447,nan,nan,1.3762467196820668e-17
28,0.5881465071802694,0.5912358942174497,nan,nan,1.3762467196820668e-17
29,0.589508746560264,0.5943136875577425,nan,nan,0.0
30,0.5894837088700756,0.5941881382796508,nan,nan,0.0
31,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
32,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
33,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
34,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
35,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
36,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
37,0.5895618097666164,0.5943274140456675,nan,nan,1.3762467196820668e-17
38,0.5911074191020651,0.5925168290874503,nan,nan,0.0
39,0.5911074191020651,0.5925168290874503,nan,nan,0.0
40,0.5911074191020651,0.5925168290874503,nan,nan,0.0
41,0.5911074191020651,0.5925168290874503,nan,nan,0.0
42,0.5911074191020651,0.5925168290874503,nan,nan,0.0
43,0.5844861156523787,0.580539113210013,nan,nan,1.3762467196820668e-17
44,0.5844861156523787,0.580539113210013,nan,nan,1.3762467196820668e-17
45,0.5844861156523787,0.580539113210013,nan,nan,1.3762467196820668e-17
46,0.5844861156523787,0.580539113210013,nan,nan,1.3762467196820668e-17
47,0.5844861156523787,0.580539113210013,nan,nan,1.3762467196820668e-17
48,0.6110672318062674,0.587683016498068,nan,nan,2.7524934393641335e-17
49,0.5999986276581785,0.5822633205297931,nan,nan,4.1287401590462e-17
50,0.5999626121175838,0.5817062174657263,nan,nan,4.1287401590462e-17
51,0.6116436799746874,0.5877868519667176,nan,nan,2.7524934393641335e-17
52,0.6224134082203037,0.6076061708870497,nan,nan,4.1287401590462e-17
53,0.6251217333843888,0.603382835167651,nan,nan,4.1287401590462e-17
54,0.6251342375626487,0.603382835167651,nan,nan,4.1287401590462e-17
55,0.625244245379851,0.6041759614069108,nan,nan,4.1287401590462e-17
56,0.6252408900123736,0.6040437737003674,nan,nan,2.7524934393641335e-17
57,0.6252408900123736,0.6040437737003674,nan,nan,2.7524934393641335e-17
58,0.6252408900123736,0.6040437737003674,nan,nan,2.7524934393641335e-17
59,0.6249742386031935,0.6126721686235204,nan,nan,2.7524934393641335e-17
60,0.6251843735680757,0.6122955207892454,nan,nan,1.3762467196820668e-17
61,0.639374223066844,0.6392270881181638,nan,nan,1.3762467196820668e-17
62,0.6537946081872352,0.6449536450258231,nan,nan,1.3762467196820668e-17
63,0.6537873577553974,0.6451008120604074,nan,nan,2.7524934393641335e-17
64,0.6537873577553974,0.6451008120604074,nan,nan,2.7524934393641335e-17
65,0.6537873577553974,0.6451008120604074,nan,nan,2.7524934393641335e-17
66,0.6385190974611741,0.6514289945475302,nan,nan,2.7524934393641335e-17
67,0.6388612079384552,0.6501405192433068,nan,nan,4.1287401590462e-17
68,0.6388799468970033,0.6502836831659984,nan,nan,2.7524934393641335e-17
69,0.6389085947645443,0.6502836831659984,nan,nan,2.7524934393641335e-17
70,0.6389085947645443,0.6502836831659984,nan,nan,2.7524934393641335e-17
71,0.6389085947645443,0.6502836831659984,nan,nan,2.7524934393641335e-17
72,0.6390454905561394,0.6467683033794323,nan,nan,4.1287401590462e-17
73,0.6387887447915478,0.6457933730173152,nan,nan,2.7524934393641335e-17
74,0.6387887447915478,0.6457933730173152,nan,nan,2.7524934393641335e-17
75,0.6385450387433995,0.6473681761669214,nan,nan,2.7524934393641335e-17
76,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
77,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
78,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
79,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
80,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
81,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
82,0.6375353481628638,0.6475003638734648,nan,nan,4.1287401590462e-17
