nb_variables,CI_train,CI_test,cdAUC_train,cdAUC_test,ConfInt
1,0.6290830649026049,0.5518336610811927,0.615190651686445,0.5496783455639269,2.0643700795231e-17
2,0.6285020117101616,0.6019898686430523,0.6358325858587962,0.6112720135288828,1.3762467196820668e-17
3,0.6309401180060039,0.6013277867135592,0.6360742000809017,0.6112720135288828,0.0
4,0.6307425093201592,0.613293737002681,0.6431818043954929,0.6290180479587681,1.3762467196820668e-17
5,0.6351360450424691,0.6151568105882559,0.643564993545748,0.6272774072257781,2.309837595256223e-05
6,0.6367355544564802,0.6124791095832464,0.6547758783196919,0.6353977136913678,1.6462321949363076e-05
7,0.6356771152819668,0.6102115060896931,0.6591651655509942,0.6283921865169886,0.0
8,0.6348992137487075,0.6110271255992326,0.6591459090484848,0.632688020490266,1.646232194936308e-05
9,0.63364068396577,0.6081341973516097,0.6598755052910684,0.6270201662067467,1.646232194936308e-05
10,0.633341742522498,0.5993176333538266,0.6540838901747017,0.6230756578377535,7.056670415537241e-05
11,0.6296338426271263,0.6088810690520274,0.6713199206043277,0.6180884552082956,1.3762467196820668e-17
12,0.6228964766647277,0.6157370662602186,0.6694479948693338,0.6249731353770732,2.4693482924037747e-05
13,0.6246484965419631,0.6190699782925746,0.6694790201583064,0.6245171636865804,2.4693482924037747e-05
14,0.6210395239004807,0.622816006026216,0.6800632637130122,0.6278794918620425,6.072873998177325e-05
15,0.6207280386299523,0.6110831593566313,0.6773441689083757,0.6131732637302244,4.5044071322196905e-05
16,0.6121918358644292,0.6066776550355856,0.6573510550690684,0.6110117052220911,4.5044071322196905e-05
17,0.6106102530827389,0.6054844200070926,0.6557557444801553,0.6094951078933128,2.7524934393641335e-17
18,0.6106248927402594,0.6056026872482055,0.655569729957544,0.6093974398215825,2.7026442793315396e-05
19,0.6106528709421057,0.6056172221319265,0.6555672255723071,0.609411366746053,1.3762467196820668e-17
20,0.6136160444105029,0.6058220646857326,0.661123491895518,0.6139012494921879,4.128357328856616e-05
21,0.6223835607393441,0.605259086208194,0.6431094367316623,0.6228493799443247,2.70264427932975e-05
22,0.6227349282597932,0.6054440336155407,0.64338094484764,0.6229665351013767,4.413399627073239e-05
23,0.6200414473587855,0.5984091498946104,0.6473868787556958,0.6156267212862628,0.0
